NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,600,600,600,600,150360
400,600,600,400,400,150361
600,600,600,600,600,150362
600,400,400,600,200,150363
400,400,400,400,600,150364
600,600,600,800,600,150365
400,600,600,600,600,150366
400,400,400,400,400,150367
400,400,400,400,400,150368
400,600,400,600,600,150369
400,600,600,600,800,150370
400,400,400,400,400,150371
600,600,600,800,800,150372
400,400,400,400,200,150373
400,400,400,400,400,150374
400,600,600,600,600,150375
400,400,400,600,400,150376
600,400,600,600,600,150377
400,400,400,400,400,150378
400,600,600,600,400,150379
400,600,600,600,400,150380
400,400,400,400,400,150381
400,400,400,400,600,150382
400,400,400,400,400,150383
600,600,600,600,0,150384
600,600,600,400,600,150385
400,400,400,400,200,150386
400,400,400,400,0,150387
400,400,400,600,600,150388
600,600,600,600,600,150389
400,600,400,600,800,150390
400,400,400,400,400,150391
600,600,600,600,600,150392
400,600,600,400,800,150393
600,600,400,600,600,150394
800,800,600,800,800,150395
400,600,600,400,400,150396
400,400,400,600,400,150397
400,600,400,600,600,150398
400,400,600,400,600,150399
400,600,400,400,400,150400
400,400,400,400,400,150401
400,400,400,600,400,150402
400,600,600,600,600,150403
400,400,400,400,800,150404
600,800,600,600,800,150405
400,400,600,600,600,150406
400,400,400,600,600,150407
400,400,400,400,0,150408
400,400,400,400,200,150409
400,400,400,600,400,150410
400,400,400,400,400,150411
400,400,400,400,400,150412
400,400,400,600,400,150413
400,400,400,400,200,150414
400,400,400,400,400,150415
600,600,600,600,600,150416
400,600,600,600,600,150417
400,600,400,600,600,150418
400,400,400,400,400,150419
400,400,400,600,0,150420
400,600,600,600,800,150421
400,400,400,600,600,150422
400,400,400,400,800,150423
400,400,400,600,600,150424
600,600,600,600,800,150425
400,600,600,600,400,150426
600,400,600,400,600,150427
600,600,400,400,400,150428
400,600,600,400,600,150429
400,600,600,400,600,150430
400,600,600,400,800,150431
400,600,400,600,400,150432
400,400,400,400,400,150433
400,400,600,600,400,150434
600,600,400,800,800,150435
600,600,400,400,600,150436
400,400,400,600,600,150437
400,600,600,600,600,150438
600,600,600,600,600,150439
400,600,600,600,600,150440
600,600,600,400,600,150441
400,600,400,400,400,150442
400,400,400,400,800,150443
600,400,600,600,600,150444
400,400,400,400,0,150445
400,400,400,400,400,150446
400,400,400,400,200,150447
600,600,600,600,800,150448
400,400,400,600,400,150449
400,600,600,600,800,150450
400,400,400,600,400,150451
600,400,400,600,600,150452
600,400,600,600,600,150453
600,600,600,600,600,150454
400,600,600,400,400,150455
400,400,400,400,400,150456
600,600,600,400,600,150457
400,400,400,600,400,150458
400,400,400,600,200,150459
600,400,400,600,800,150460
400,600,600,400,400,150461
400,600,400,400,800,150462
400,400,400,400,800,150463
600,600,600,800,600,150464
400,600,400,600,400,150465
400,400,400,400,400,150466
400,400,400,400,400,150467
400,400,600,400,600,150468
400,600,400,400,600,150469
400,400,600,600,600,150470
600,600,600,600,400,150471
400,400,400,400,400,150472
400,600,400,600,600,150473
800,800,600,800,800,150474
400,400,400,400,400,150475
600,400,400,400,0,150476
600,600,600,800,600,150477
600,400,400,600,600,150478
600,600,600,600,600,150479
600,600,600,600,600,150480
400,600,600,600,600,150481
400,400,400,600,600,150482
400,600,400,600,400,150483
400,600,400,400,600,150484
400,600,400,400,600,150485
400,400,400,400,800,150486
400,400,400,400,600,150487
400,600,600,400,600,150488
400,400,400,600,600,150489
400,400,400,400,400,150490
400,600,600,600,400,150491
600,600,600,600,600,150492
400,400,400,600,600,150493
600,600,600,800,600,150494
400,400,400,600,400,150495
400,400,400,400,200,150496
400,400,400,400,600,150497
600,400,400,400,400,150498
400,400,400,400,200,150499
600,600,600,600,600,150500
600,600,600,400,600,150501
400,600,600,600,600,150502
400,600,600,600,600,150503
400,600,600,600,400,150504
600,400,400,400,400,150505
400,600,400,600,400,150506
600,600,600,600,800,150507
400,400,400,400,400,150508
600,600,600,600,600,150509
400,600,600,400,400,150510
400,600,400,400,600,150511
400,600,400,400,400,150512
400,400,400,400,600,150513
400,600,400,400,0,150514
400,400,400,400,400,150515
400,600,600,600,400,150516
400,400,600,400,600,150517
400,400,400,400,600,150518
400,400,400,400,400,150519
400,600,600,600,400,150520
400,600,600,400,400,150521
600,600,600,600,600,150522
600,600,600,600,800,150523
400,600,400,400,600,150524
400,600,400,400,400,150525
400,600,400,600,400,150526
400,600,600,800,400,150527
400,400,400,400,200,150528
400,400,400,400,600,150529
400,400,400,400,400,150530
400,400,400,600,400,150531
600,400,400,600,400,150532
400,400,600,400,600,150533
400,600,600,400,600,150534
400,400,600,600,400,150535
400,600,400,600,600,150536
400,600,400,600,600,150537
600,600,600,600,600,150538
400,400,400,400,400,150539
400,600,600,600,600,150540
400,400,400,400,400,150541
400,600,400,400,600,150542
600,600,600,600,600,150543
400,400,400,400,400,150544
600,400,400,600,600,150545
400,600,600,600,600,150546
400,600,600,600,400,150547
400,400,400,600,600,150548
400,400,400,400,400,150549
400,600,600,400,400,150550
600,600,600,800,800,150551
400,600,600,600,600,150552
