UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
15,17,1,2,0,2,0,2,150277
2,19,0,1,2012,0,0,3,150278
25,22,1,3,0,0,0,1,150279
25,18,1,2,0,1,0,1,150280
16,21,1,1,2009,0,0,1,150281
6,15,1,3,0,0,0,1,150282
6,29,0,3,0,0,0,1,150283
27,17,1,2,0,1,0,3,150284
17,21,1,1,2012,0,0,1,150285
17,28,0,1,2005,0,0,1,150286
18,30,0,1,2004,0,0,2,150287
27,18,0,1,2012,0,0,3,150288
5,38,0,1,2004,0,1,3,150289
11,17,0,3,0,0,0,3,150290
17,33,1,1,2004,0,1,3,150291
16,16,0,3,0,0,0,1,150292
22,17,1,3,0,0,0,2,150293
6,16,1,3,0,0,0,3,150294
25,20,0,2,0,1,0,1,150295
16,16,0,3,0,0,0,1,150296
18,47,0,1,2004,0,0,3,150297
13,30,1,4,0,0,2,3,150298
13,22,1,1,2011,0,0,2,150299
21,17,0,2,0,1,0,1,150300
25,17,0,2,0,1,0,3,150301
14,18,0,2,0,1,0,3,150302
6,26,0,1,2005,0,0,3,150303
20,16,0,2,0,1,0,2,150304
15,37,0,1,2004,0,2,1,150305
19,32,1,1,2004,0,0,2,150306
25,16,0,3,0,0,0,1,150307
25,18,0,1,2012,0,0,3,150308
9,16,1,2,0,2,0,3,150309
19,21,1,1,2010,0,0,3,150310
6,47,0,3,0,0,1,3,150311
12,16,1,3,0,0,0,3,150312
13,31,1,1,2004,0,1,1,150313
13,21,1,1,2009,0,0,1,150314
8,19,0,2,0,1,0,3,150315
25,17,0,2,0,2,0,1,150316
6,20,0,1,2009,0,0,3,150317
6,18,1,3,0,0,0,0,150318
19,18,1,1,2012,0,0,2,150319
26,17,0,2,0,2,0,4,150320
17,26,1,1,2005,0,0,3,150321
6,17,1,3,0,0,0,3,150322
14,20,1,4,0,0,0,3,150323
24,16,0,3,0,0,0,1,150324
6,26,0,1,2011,0,0,2,150325
25,19,1,1,2011,0,0,1,150326
26,29,0,1,2004,0,0,1,150327
16,17,1,3,0,0,0,3,150328
19,36,1,4,0,0,1,1,150329
9,36,1,1,2004,0,2,3,150330
13,19,0,1,2011,0,0,2,150331
25,16,0,3,0,0,0,1,150332
10,23,0,1,2007,0,0,3,150333
6,31,0,3,0,0,1,3,150334
4,17,1,2,0,1,0,3,150335
5,18,1,1,2012,0,0,3,150336
9,18,0,1,2012,0,0,3,150337
13,20,0,1,2010,0,0,3,150338
21,54,1,4,0,0,1,1,150339
6,21,1,1,2011,0,0,1,150340
13,32,0,1,2004,0,0,1,150341
20,17,0,2,0,1,0,1,150342
25,16,1,3,0,0,0,1,150343
25,22,0,4,0,0,2,3,150344
7,20,1,1,2012,0,0,1,150345
21,35,0,1,2004,0,1,1,150346
10,36,0,1,2004,0,1,2,150347
24,18,0,1,2012,0,0,1,150348
4,19,1,2,0,1,0,1,150349
25,21,0,1,2010,0,0,1,150350
16,26,1,1,2006,0,0,3,150351
20,25,0,1,2008,0,0,2,150352
6,18,0,3,0,0,0,1,150353
9,17,0,2,0,1,0,3,150354
16,19,1,1,2011,0,0,3,150355
7,18,0,2,0,2,0,0,150356
6,27,0,1,2004,0,0,1,150357
5,17,0,3,0,0,0,3,150358
25,23,1,1,2010,0,0,3,150359
19,18,0,1,2012,0,0,3,150360
14,30,0,1,2004,0,0,3,150361
18,17,0,3,0,0,0,3,150362
16,18,1,1,2012,0,0,1,150363
17,17,0,3,0,0,0,3,150364
25,18,1,2,0,2,0,3,150365
17,27,1,1,2004,0,1,2,150366
21,36,1,4,0,0,0,1,150367
21,29,0,1,2007,0,1,1,150368
13,23,0,1,2009,0,0,3,150369
19,21,0,4,0,0,0,1,150370
6,21,1,1,2012,0,0,3,150371
6,19,1,1,2011,0,0,3,150372
9,17,0,3,0,0,0,3,150373
17,22,0,1,2009,0,0,1,150374
13,17,0,2,0,2,0,3,150375
16,19,0,3,0,0,0,2,150376
25,21,0,1,2009,0,0,1,150377
6,20,0,1,2012,0,0,1,150378
25,20,0,1,2010,0,0,1,150379
21,19,0,1,2011,0,0,1,150380
14,25,0,1,2011,0,0,3,150381
25,17,1,2,0,1,0,2,150382
13,17,1,2,0,1,0,1,150383
8,17,1,2,0,2,0,1,150384
9,18,0,3,0,0,0,3,150385
6,20,1,3,0,0,0,3,150386
12,32,0,1,2004,0,0,1,150387
20,16,1,3,0,0,0,1,150388
19,17,0,3,0,0,0,1,150389
16,17,0,2,0,1,0,3,150390
9,16,0,3,0,0,0,1,150391
25,15,1,3,0,0,0,1,150392
25,18,0,2,0,1,0,3,150393
16,18,1,2,0,1,0,1,150394
8,20,0,1,2010,0,0,1,150395
17,15,0,3,0,0,0,1,150396
4,24,0,1,2007,0,1,3,150397
16,17,1,2,0,1,0,1,150398
19,18,0,3,0,0,0,1,150399
7,20,1,1,2012,0,0,3,150400
13,35,0,1,2004,0,2,2,150401
5,16,1,3,0,0,0,3,150402
20,16,1,3,0,0,0,1,150403
21,23,0,1,2008,0,0,4,150404
6,30,1,1,2004,0,0,1,150405
22,17,0,3,0,0,0,4,150406
26,17,0,2,0,1,0,3,150407
6,18,0,3,0,0,0,3,150408
9,47,0,2,0,1,0,1,150409
26,27,0,1,2006,0,1,3,150410
23,34,0,1,2004,0,1,2,150411
11,20,0,4,0,0,0,3,150412
6,16,1,3,0,0,0,1,150413
27,34,0,1,2004,0,0,3,150414
9,18,0,2,0,1,0,3,150415
18,21,0,1,2009,0,0,1,150416
17,18,1,1,2012,0,0,3,150417
21,38,1,1,2004,0,2,1,150418
21,18,1,2,0,2,0,1,150419
25,17,1,2,0,1,0,1,150420
14,19,0,1,2010,0,0,2,150421
24,16,0,3,0,0,0,1,150422
16,16,0,3,0,0,0,1,150423
6,16,0,3,0,0,0,3,150424
5,20,1,1,2010,0,0,2,150425
11,18,1,4,0,0,0,4,150426
16,20,0,1,2011,0,0,3,150427
17,54,1,4,0,0,1,3,150428
13,22,1,1,2009,0,0,1,150429
17,39,1,1,2004,0,1,3,150430
5,16,0,3,0,0,0,3,150431
19,16,0,3,0,0,0,1,150432
